x,y,color,delta,value,
50.0102,-1.3184000000000187,#f7f4f9,0.05,0.00003414627371558612,
50.0102,-1.2684000000000186,#f7f4f9,0.05,0.00003167904896606633,
50.0102,-1.2184000000000186,#f7f4f9,0.05,0.000026614057330512,
50.0102,-1.1684000000000185,#f7f4f9,0.05,0.00002627659989988377,
50.0102,-1.1184000000000185,#f7f4f9,0.05,0.000025138554531917298,
50.0102,-1.0684000000000184,#f7f4f9,0.05,0.000025759331095178908,
50.0102,-1.0184000000000184,#f7f4f9,0.05,0.000028629166572237963,
50.0102,-0.9684000000000184,#f7f4f9,0.05,0.000027493906705276892,
50.0102,-0.9184000000000183,#f7f4f9,0.05,0.00002653584118974608,
50.0102,-0.8684000000000183,#f7f4f9,0.05,0.000025954612060515012,
50.0102,-0.8184000000000182,#f7f4f9,0.05,0.000024028090970286382,
50.0102,-0.7684000000000182,#f7f4f9,0.05,0.000020570248997184794,
50.0102,-0.7184000000000181,#f7f4f9,0.05,0.000016159276239453606,
50.0102,-0.6684000000000181,#f7f4f9,0.05,0.00001303605576731647,
50.0102,-0.618400000000018,#f7f4f9,0.05,0.000009935357323113007,
50.0102,-0.568400000000018,#f7f4f9,0.05,0.00000955834418781952,
50.0102,-0.518400000000018,#f7f4f9,0.05,0.000009603132935916364,
50.0102,-0.46840000000001797,#f7f4f9,0.05,0.000009624200093949444,
50.0102,-0.418400000000018,#f7f4f9,0.05,0.000010522157289004196,
50.0102,-0.368400000000018,#f7f4f9,0.05,0.0000104401811133337,
50.0102,-0.318400000000018,#f7f4f9,0.05,0.00001054803809737757,
50.0102,-0.268400000000018,#f7f4f9,0.05,0.000011631971403215683,
50.0102,-0.21840000000001802,#f7f4f9,0.05,0.000014872699999097738,
50.0102,-0.16840000000001804,#f7f4f9,0.05,0.000018594535748728094,
50.0102,-0.11840000000001803,#f7f4f9,0.05,0.000021235983876215277,
50.0102,-0.06840000000001803,#f7f4f9,0.05,0.000024154621888107264,
50.0102,-0.018400000000018027,#f7f4f9,0.05,0.00003093103281269975,
50.0102,0.031599999999981976,#f7f4f9,0.05,0.000034643432014823045,
50.0102,0.08159999999998198,#f7f4f9,0.05,0.000038516298188916954,
50.0102,0.13159999999998198,#f7f4f9,0.05,0.000039176036120027195,
50.0102,0.181599999999982,#f7f4f9,0.05,0.000040219504853309144,
50.0102,0.231599999999982,#f7f4f9,0.05,0.00003818889201027854,
50.0102,0.281599999999982,#f7f4f9,0.05,0.0000352273114312526,
50.0102,0.33159999999998196,#f7f4f9,0.05,0.00003395192601346381,
50.0102,0.38159999999998195,#f7f4f9,0.05,0.000032055411333902334,
50.0102,0.43159999999998194,#f7f4f9,0.05,0.00003118636342172797,
50.0102,0.48159999999998193,#f7f4f9,0.05,0.000028765217737115735,
50.0102,0.531599999999982,#f7f4f9,0.05,0.00002930991371499496,
50.0102,0.581599999999982,#f7f4f9,0.05,0.000029179890423674724,
50.0102,0.6315999999999821,#f7f4f9,0.05,0.00002978787001347507,
50.0102,0.6815999999999821,#f7f4f9,0.05,0.00002803053398907267,
50.0102,0.7315999999999822,#f7f4f9,0.05,0.00002987547631586549,
50.0102,0.7815999999999822,#f7f4f9,0.05,0.000034193793802583774,
50.0102,0.8315999999999822,#f7f4f9,0.05,0.00003761554251016511,
50.0102,0.8815999999999823,#f7f4f9,0.05,0.00004182087669567501,
50.0102,0.9315999999999823,#f7f4f9,0.05,0.000045458926581002013,
50.0102,0.9815999999999824,#f7f4f9,0.05,0.00005111661358227384,
50.0102,1.0315999999999823,#f7f4f9,0.05,0.00005443341280714854,
50.0102,1.0815999999999824,#f7f4f9,0.05,0.00006076548517458952,
50.0102,1.1315999999999824,#f7f4f9,0.05,0.00006646544380053436,
50.0102,1.1815999999999824,#f7f4f9,0.05,0.00007152344498246022,
50.0102,1.2315999999999825,#f7f4f9,0.05,0.00008227836275751474,
50.0102,1.2815999999999825,#f7f4f9,0.05,0.00009611182896192515,
50.0102,1.3315999999999826,#f7f4f9,0.05,0.00010978299596281317,
50.0102,1.3815999999999826,#f7f4f9,0.05,0.00011565910857204378,
50.0102,1.4315999999999827,#f7f4f9,0.05,0.00012083390489507525,
50.0102,1.4815999999999827,#f7f4f9,0.05,0.0001193272016471611,
50.0102,1.5315999999999828,#f7f4f9,0.05,0.00010940750711300197,
50.0102,1.5815999999999828,#f7f4f9,0.05,0.00009600754038799336,
50.0102,1.6315999999999828,#f7f4f9,0.05,0.00007370106706498892,
50.060199999999995,-7.5684,#f7f4f9,0.05,0.0000015183275531706264,
